人数,行人集群数,停留密度,聚集比例,活力度,混合度
8.0,2.0,2.0,0.875,0.5782499061551332,0.5920502157023733
2.0,2.0,0.2666666666666666,1.0,0.5146727394734569,0.5088911907113576
6.0,6.0,0.2,1.0,0.6110637029713594,0.6153843783954744
4.0,1.0,2.6666666666666665,1.0,0.6027092964888263,0.6114962026644697
1.0,0.0,0.25,0.0,0.018771861661974,0.02156934768950145
12.0,3.0,6.0,0.8333333333333334,0.7512912894455149,0.7939306733113909
5.0,4.0,0.1470588235294117,0.8,0.4789030267198378,0.4816647609458713
3.0,3.0,1.0,1.0,0.564401521987489,0.5651411402982405
2.0,1.0,1.0,1.0,0.5252950639477905,0.5222716031385831
2.0,2.0,0.6666666666666666,1.0,0.5283426283478871,0.5246920721331462
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0133333333333333,1.0,0.4915760047241962,0.48329609563150455
5.0,0.0,0.25,0.0,0.0596845861237947,0.06834453489303567
10.0,3.0,0.5524861878453038,0.8,0.5294601613771205,0.5405611490426615
0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.0,0.6504065040650406,0.5,0.3610436079666656,0.3723155727840505
5.0,2.0,1.0,0.4,0.2966838411150678,0.30666450223884617
2.0,1.0,0.6666666666666666,1.0,0.5139034898857654,0.5091042019537593
1.0,0.0,0.2,0.0,0.0170631255526702,0.019594237511777867
0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,0.06,1.0,0.503399006208335,0.49683332859826346
2.0,0.0,0.1666666666666666,0.0,0.0261521492619229,0.029971294194179036
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,1.0,0.4911203417617152,0.4827693995841115
7.0,1.0,3.5,0.2857142857142857,0.3359978885126238,0.362500427598496
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.05,1.0,0.492829077871019,0.48474450976183514
2.0,1.0,0.08,1.0,0.4938543195366012,0.4859295758684693
16.0,6.0,0.8121827411167513,0.9375,0.7057526366638935,0.7287677926687536
2.0,0.0,2.0,0.0,0.0888058066030609,0.10239200071071028
0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.04,0.0,0.0115951700028981,0.013273884943062397
4.0,3.0,0.2,0.75,0.4332337150869131,0.4342846903048073
4.0,2.0,0.0952380952380952,0.5,0.3011581573666985,0.30361001008802213
2.0,2.0,0.1111111111111111,1.0,0.5093566715778453,0.502746403491773
0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,0.0,0.0546310844169856,0.06288979715623869
3.0,1.0,1.0,0.6666666666666666,0.3834482980403513,0.3860340880051475
3.0,0.0,0.1875,0.0,0.0370923037562546,0.04248805356911407
4.0,3.0,2.0,0.75,0.4947482150218486,0.5053886567028563
5.0,2.0,2.5,1.0,0.6216808290353907,0.6321941690523282
