年龄混合度,活动丰富度,姿态丰富度,社交状态混合度,身份倾向混合度,混合度
0.4056390622295664,0.6903237321511448,0.0,0.5435644431995964,0.8910059171568907,0.4891253981831739
0.0,0.3644477444081442,0.0,0.6500224216483541,0.5806223504751438,0.33472974346187334
0.4591479170272447,0.5579943697173448,0.9182958340544894,0.9182958340544894,0.8988862475921093,0.7946543211505375
0.6893917467430878,0.5026405093881708,0.0,0.5916727785823274,0.9852104809731468,0.5376934273809728
0.2516291673878228,0.5611345972461129,0.0,0.5032583347756457,0.7459309287650085,0.40501298758772747
0.0,0.548091794415963,0.0,0.6840384356390417,0.4097046774516856,0.3285806566337184
0.325011210824177,0.5349768658724002,0.9182958340544894,0.6500224216483541,0.5906642307679659,0.6385796697923697
0.0,0.7276473997533619,0.8960382325345574,0.5435644431995964,0.7460815240680729,0.6239141706818283
0.0,0.5811050828133786,0.0,0.0,0.6495402049324533,0.23341700200992654
0.4926140680171257,1.0,0.8631205685666311,0.9852281360342516,0.9375398370045712,0.8725241882994579
0.4226754683112182,0.7511210608211583,0.4394969869215133,0.8453509366224364,0.9836799071343884,0.7001946664407255
0.2344977967946405,0.3666364866985663,0.7219280948873623,0.0,0.2389988979417041,0.32244698794135895
